timestamp,bandwidth_mbps,latency_ms,packet_loss_pct,cpu_percent,memory_percent
2024-01-01 00:00:00,41.26,39.831,0.0,52.21,72.48
2024-01-01 00:05:00,38.758,28.263,0.2593,24.94,47.67
2024-01-01 00:10:00,25.019,22.119,0.0,41.14,55.98
2024-01-01 00:15:00,30.003,29.013,0.0,42.7,52.69
2024-01-01 00:20:00,42.793,27.388,0.0,25.47,63.07
2024-01-01 00:25:00,21.513,41.671,0.0,47.73,58.14
2024-01-01 00:30:00,44.017,37.542,0.0,39.79,51.88
2024-01-01 00:35:00,26.312,28.451,0.0,89.51,54.35
2024-01-01 00:40:00,213.508,57.599,0.0,69.87,64.33
2024-01-01 00:45:00,33.706,32.915,0.0,51.24,60.89
2024-01-01 00:50:00,25.439,33.644,0.0,66.23,57.53
2024-01-01 00:55:00,24.393,15.919,0.0,66.91,57.82
2024-01-01 01:00:00,32.621,22.304,0.0,42.79,56.42
2024-01-01 01:05:00,33.673,34.471,0.0,44.76,51.61
2024-01-01 01:10:00,33.02,37.325,0.0,6.2,56.82
2024-01-01 01:15:00,10.515,30.772,0.0,55.09,56.19
2024-01-01 01:20:00,127.269,46.935,0.0,48.44,62.52
2024-01-01 01:25:00,30.825,37.04,0.0,57.14,59.72
2024-01-01 01:30:00,37.065,23.293,0.0,33.47,60.61
2024-01-01 01:35:00,47.56,22.06,0.0,15.55,61.03
2024-01-01 01:40:00,25.175,29.334,0.0,26.57,59.86
2024-01-01 01:45:00,14.204,23.575,0.0,23.7,53.42
2024-01-01 01:50:00,33.622,21.871,0.0,30.71,65.14
2024-01-01 01:55:00,22.932,28.505,0.0,65.59,65.36
2024-01-01 02:00:00,41.925,30.361,0.0,56.27,59.7
2024-01-01 02:05:00,39.661,28.741,0.0,42.0,66.18
2024-01-01 02:10:00,20.534,33.984,0.0,43.01,49.21
2024-01-01 02:15:00,43.768,42.716,0.0,40.66,53.15
2024-01-01 02:20:00,39.337,29.86,0.0,54.78,48.32
2024-01-01 02:25:00,33.747,35.767,0.0,96.4,56.51
2024-01-01 02:30:00,32.841,30.041,0.0,49.54,34.63
2024-01-01 02:35:00,60.094,31.902,0.0,35.03,60.8
2024-01-01 02:40:00,33.469,31.333,0.0,48.5,62.45
2024-01-01 02:45:00,36.071,21.99,0.0,51.8,57.41
2024-01-01 02:50:00,31.941,31.048,0.0,44.92,53.96
2024-01-01 02:55:00,32.713,25.721,0.0,48.51,52.59
2024-01-01 03:00:00,125.023,48.093,0.0,58.92,65.32
2024-01-01 03:05:00,12.314,31.554,0.0,42.16,49.07
2024-01-01 03:10:00,33.41,39.371,0.0,53.29,49.06
2024-01-01 03:15:00,36.034,22.886,0.0,36.4,56.58
2024-01-01 03:20:00,27.863,31.487,0.0,49.37,36.86
2024-01-01 03:25:00,22.609,35.634,0.0,8.01,52.53
2024-01-01 03:30:00,28.236,35.228,0.0,39.02,66.49
2024-01-01 03:35:00,56.188,37.218,0.0,46.25,60.3
2024-01-01 03:40:00,39.351,31.395,0.0,38.82,54.76
2024-01-01 03:45:00,51.089,34.563,0.0,50.23,65.58
2024-01-01 03:50:00,24.9,27.539,0.0,35.86,59.31
2024-01-01 03:55:00,29.709,32.89,0.0,31.45,49.05
2024-01-01 04:00:00,19.76,30.26,0.0,31.4,59.17
2024-01-01 04:05:00,36.003,33.724,0.0,40.59,56.18
2024-01-01 04:10:00,49.207,21.56,0.0,53.3,56.21
2024-01-01 04:15:00,33.984,28.307,0.0,49.58,63.6
2024-01-01 04:20:00,24.322,28.794,0.0,26.69,61.94
2024-01-01 04:25:00,35.999,38.669,0.0,49.06,63.12
2024-01-01 04:30:00,27.52,37.033,0.0,38.78,62.4
2024-01-01 04:35:00,20.086,30.16,0.0,55.43,59.43
2024-01-01 04:40:00,36.356,27.386,0.0,47.49,63.13
2024-01-01 04:45:00,15.969,31.486,0.0,36.04,61.39
2024-01-01 04:50:00,45.155,36.367,0.0,55.2,43.26
2024-01-01 04:55:00,35.593,38.291,0.0,33.49,64.19
2024-01-01 05:00:00,30.237,25.228,0.0,40.73,61.96
2024-01-01 05:05:00,30.286,35.473,0.0,40.19,60.35
2024-01-01 05:10:00,48.301,35.448,0.0,71.62,58.38
2024-01-01 05:15:00,35.021,41.163,0.0,38.57,43.2
2024-01-01 05:20:00,32.018,38.44,0.0,32.47,69.91
2024-01-01 05:25:00,29.559,19.173,0.0,35.39,62.14
2024-01-01 05:30:00,37.146,28.919,0.0,48.0,69.27
2024-01-01 05:35:00,37.233,28.077,0.0,44.29,65.75
2024-01-01 05:40:00,38.196,32.593,0.0,21.46,53.27
2024-01-01 05:45:00,30.438,39.683,0.4047,39.45,66.71
2024-01-01 05:50:00,27.722,26.019,0.0,39.62,54.84
2024-01-01 05:55:00,37.016,34.743,0.0,46.16,59.98
2024-01-01 06:00:00,30.357,31.566,0.0,39.51,66.71
2024-01-01 06:05:00,38.109,32.249,0.0,40.3,54.42
2024-01-01 06:10:00,15.141,30.918,0.0,20.9,46.45
2024-01-01 06:15:00,32.975,21.172,0.0,65.8,53.7
2024-01-01 06:20:00,26.812,27.715,0.0,37.38,59.0
2024-01-01 06:25:00,27.394,29.498,0.0,49.64,61.58
2024-01-01 06:30:00,35.658,35.423,0.0,26.48,64.44
2024-01-01 06:35:00,52.178,32.024,0.0,61.49,77.05
2024-01-01 06:40:00,27.551,31.441,0.0,40.88,49.94
2024-01-01 06:45:00,31.878,22.001,0.0,34.2,51.29
2024-01-01 06:50:00,42.779,32.573,0.0,48.95,68.42
2024-01-01 06:55:00,29.557,22.847,0.0,48.18,66.5
2024-01-01 07:00:00,21.298,32.581,0.0,28.55,64.74
2024-01-01 07:05:00,57.247,37.723,0.0,47.37,49.52
2024-01-01 07:10:00,37.204,22.179,0.0,51.71,59.63
2024-01-01 07:15:00,36.253,36.399,0.0,44.31,55.59
2024-01-01 07:20:00,34.216,29.98,0.0,60.62,42.48
2024-01-01 07:25:00,19.386,23.024,0.0,49.92,76.07
2024-01-01 07:30:00,28.073,32.102,0.0,20.3,62.2
2024-01-01 07:35:00,124.787,39.783,0.3367,53.26,66.76
2024-01-01 07:40:00,36.571,23.993,0.0,42.5,61.03
2024-01-01 07:45:00,18.937,33.775,0.0,42.49,49.39
2024-01-01 07:50:00,34.771,31.151,0.0,26.78,54.05
2024-01-01 07:55:00,26.472,33.382,0.0,52.75,49.53
2024-01-01 08:00:00,102.842,52.956,0.0,64.61,55.2
2024-01-01 08:05:00,110.419,50.524,0.0,34.58,48.72
2024-01-01 08:10:00,87.207,27.445,0.0,78.21,56.06
2024-01-01 08:15:00,105.585,37.532,0.0,67.87,57.86
2024-01-01 08:20:00,124.424,46.737,0.0,45.58,52.33
2024-01-01 08:25:00,509.329,91.813,0.0,99.0,72.81
2024-01-01 08:30:00,115.307,39.03,0.0,54.18,63.37
2024-01-01 08:35:00,112.982,41.81,0.0,49.54,59.4
2024-01-01 08:40:00,98.557,55.241,0.3248,49.67,54.88
2024-01-01 08:45:00,348.832,72.565,0.0,80.05,53.39
2024-01-01 08:50:00,123.764,37.837,0.0,71.72,57.68
2024-01-01 08:55:00,120.633,44.126,0.0,49.16,65.79
2024-01-01 09:00:00,95.895,29.358,0.0,43.54,66.81
2024-01-01 09:05:00,159.647,42.887,0.0,74.74,42.95
2024-01-01 09:10:00,132.74,47.037,0.0,63.29,54.77
2024-01-01 09:15:00,129.383,31.703,0.0,69.08,52.89
2024-01-01 09:20:00,78.182,32.276,0.0,58.8,59.07
2024-01-01 09:25:00,92.674,46.867,0.0,26.96,51.5
2024-01-01 09:30:00,147.972,43.001,0.0,57.57,52.53
2024-01-01 09:35:00,141.124,42.43,0.0,60.39,71.54
2024-01-01 09:40:00,107.218,34.622,0.0,31.01,55.8
2024-01-01 09:45:00,103.806,43.789,0.0,42.99,59.8
2024-01-01 09:50:00,81.375,36.284,0.0,55.17,47.87
2024-01-01 09:55:00,99.894,39.447,0.0,54.64,68.62
2024-01-01 10:00:00,98.412,36.485,0.0,45.0,69.26
2024-01-01 10:05:00,106.823,45.114,0.0,60.37,62.22
2024-01-01 10:10:00,108.312,40.09,0.0,44.07,51.91
2024-01-01 10:15:00,113.711,30.947,0.0,46.97,53.94
2024-01-01 10:20:00,126.859,41.434,0.0,51.68,62.32
2024-01-01 10:25:00,114.01,31.886,0.0,52.26,73.11
2024-01-01 10:30:00,140.929,34.021,0.0,52.81,62.73
2024-01-01 10:35:00,135.073,43.007,0.0533,40.71,58.29
2024-01-01 10:40:00,124.57,44.674,0.0,58.99,51.64
2024-01-01 10:45:00,117.484,48.763,0.0,49.12,49.61
2024-01-01 10:50:00,140.135,37.966,0.0,54.49,50.46
2024-01-01 10:55:00,120.195,38.469,0.0,58.04,49.73
2024-01-01 11:00:00,129.297,37.834,0.0,69.44,56.65
2024-01-01 11:05:00,111.833,48.118,0.0,30.47,49.68
2024-01-01 11:10:00,111.595,37.794,0.0,62.3,56.85
2024-01-01 11:15:00,119.0,49.274,0.0,76.08,64.92
2024-01-01 11:20:00,61.957,41.786,0.0,54.8,46.66
2024-01-01 11:25:00,97.924,40.883,0.0,40.43,71.32
2024-01-01 11:30:00,97.528,40.549,0.0,38.35,64.28
2024-01-01 11:35:00,95.81,52.736,0.0,40.16,48.14
2024-01-01 11:40:00,76.428,36.149,0.4543,46.05,68.77
2024-01-01 11:45:00,72.334,53.089,0.0,38.69,63.06
2024-01-01 11:50:00,136.633,33.374,0.0,37.19,58.1
2024-01-01 11:55:00,143.228,40.704,0.0,53.27,48.51
2024-01-01 12:00:00,116.046,44.824,0.0,57.93,61.37
2024-01-01 12:05:00,94.146,41.689,0.0,50.12,60.04
2024-01-01 12:10:00,116.327,30.988,0.0,64.0,55.36
2024-01-01 12:15:00,52.996,42.258,0.0,38.32,52.15
2024-01-01 12:20:00,104.871,49.884,0.0,60.3,40.26
2024-01-01 12:25:00,150.394,46.958,0.0,55.03,44.02
2024-01-01 12:30:00,113.551,39.959,4.0287,50.07,53.59
2024-01-01 12:35:00,97.008,42.431,0.0,53.97,52.57
2024-01-01 12:40:00,142.887,38.677,0.0,75.77,51.97
2024-01-01 12:45:00,111.498,38.462,0.0,52.42,35.54
2024-01-01 12:50:00,136.454,43.189,0.0,50.5,60.6
2024-01-01 12:55:00,109.762,38.99,0.0,43.63,58.74
2024-01-01 13:00:00,136.016,47.863,0.0,64.01,64.88
2024-01-01 13:05:00,96.179,39.268,0.0,66.6,51.56
2024-01-01 13:10:00,71.591,25.247,0.0,32.85,56.58
